Country,population_growth_rate
Tonga,"
      1.282%"
Trinidad and Tobago,"
      -0.094%"
Tunisia,"
      0.969%"
Turkey,"
      1.272%"
Turkmenistan,"
      1.14%"
Turks and Caicos Islands,"
      2.491%"
Tuvalu,"
      0.659%"
Uganda,"
      3.563%"
Ukraine,"
      -0.619%"
United Arab Emirates,"
      3.561%"
United Kingdom,"
      0.563%"
United States,"
      0.97%"
Uruguay,"
      0.447%"
Uzbekistan,"
      0.938%"
Vanuatu,"
      1.359%"
Venezuela,"
      1.515%"
Vietnam,"
      1.096%"
Virgin Islands,"
      -0.072%"
Wallis and Futuna,"
      0.365%"
West Bank,"
      2.13%"
Western Sahara,"
      3.169%"
World,"
      1.133%"
Yemen,"
      2.713%"
Zambia,"
      3.118%"
Zimbabwe,"
      2.954%"
