Country,population_growth_rate
Serbia,"
      -0.467%"
Seychelles,"
      0.945%"
Sierra Leone,"
      2.249%"
Singapore,"
      0.817%"
Sint Maarten,
Slovakia,"
      0.117%"
Slovenia,"
      -0.163%"
Solomon Islands,"
      2.22%"
Somalia,"
      1.603%"
South Africa,"
      -0.38%"
Spain,"
      0.574%"
Sri Lanka,"
      0.934%"
Sudan,"
      2.484%"
Suriname,"
      1.087%"
Svalbard,"
      -0.024%"
Swaziland,"
      1.204%"
Sweden,"
      0.163%"
Switzerland,"
      0.21%"
Syria,"
      0.913%"
Taiwan,"
      0.193%"
Tajikistan,"
      1.846%"
Tanzania,"
      2.002%"
Thailand,"
      0.566%"
Timor-Leste,"
      1.981%"
Togo,"
      2.762%"
Tokelau,"
      -0.011%"
Tonga,"
      0.243%"
Trinidad and Tobago,"
      -0.087%"
Tunisia,"
      0.978%"
Turkey,"
      1.235%"
Turkmenistan,"
      1.138%"
Turks and Caicos Islands,"
      3.485%"
Tuvalu,"
      0.702%"
Uganda,"
      3.576%"
Ukraine,"
      -0.622%"
United Arab Emirates,"
      3.282%"
United Kingdom,"
      0.557%"
United States,"
      0.963%"
Uruguay,"
      0.231%"
Uzbekistan,"
      0.94%"
Vanuatu,"
      1.343%"
Venezuela,"
      1.493%"
Vietnam,"
      1.077%"
Virgin Islands,"
      -0.08%"
Wallis and Futuna,"
      0.357%"
West Bank,"
      2.097%"
Western Sahara,"
      3.097%"
World,"
      1.092%"
Yemen,"
      2.647%"
Zambia,"
      3.062%"
Zimbabwe,"
      4.31%"
