Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Bhutan,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.12 male(s)/female 
      
65 years and over: 1.11 male(s)/female 
      
total population: 1.1 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.12 , 1.11 , 1.1 
Bolivia,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 0.96 , 0.79 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
      
under 15 years: 1.07 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.69 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.07 , 1.07 , 1.02 , 0.69 , 0.97 
Botswana,"birth: 1.03 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.03 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 1.02 male(s)/female (2011 est.) 
        ", 1.03 , 1.04 , 1.03 , 0.67 , 1.02 
Brazil,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.74 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 0.98 , 0.74 , 0.98 
British Virgin Islands,"birth: 1.06 male(s)/female 
      
under 15 years: 0.96 male(s)/female 
      
15-64 years: 0.92 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 0.93 male(s)/female (2011 est.) 
        ", 1.06 , 0.96 , 0.92 , 0.95 , 0.93 
Brunei,"birth: 1.05 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.05 , 1.06 , 0.97 , 0.95 , 1 
Bulgaria,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.68 male(s)/female 
      
total population: 0.92 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 0.97 , 0.68 , 0.92 
Burkina Faso,"birth: 1.03 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.03 , 1 , 1 , 0.62 , 0.99 
Burma,"birth: 1.06 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.99 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.06 , 1.04 , 0.99 , 0.77 , 0.99 
Burundi,"birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.98 , 0.67 , 0.98 
Cambodia,"birth: 1.04 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.93 male(s)/female 
      
65 years and over: 0.6 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.04 , 1.01 , 0.93 , 0.6 , 0.94 
Cameroon,"birth: 1.03 male(s)/female 
      
under 15 years: 1.02 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.84 male(s)/female 
      
total population: 1.01 male(s)/female (2011 est.) 
        ", 1.03 , 1.02 , 1.01 , 0.84 , 1.01 
Canada,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 1.02 , 0.79 , 0.98 
Cape Verde,"birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.94 male(s)/female 
      
65 years and over: 0.6 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.94 , 0.6 , 0.94 
Cayman Islands,"birth: 1.02 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.95 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 0.95 male(s)/female (2011 est.) 
        ", 1.02 , 1.01 , 0.95 , 0.9 , 0.95 
Central African Republic,"birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.66 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.98 , 0.66 , 0.98 
Chad,"birth: 1.04 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 0.86 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.93 male(s)/female (2011 est.) 
        ", 1.04 , 1.03 , 0.86 , 0.72 , 0.93 
Chile,"birth: 1.04 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.71 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.04 , 1.04 , 0.98 , 0.71 , 0.97 
China,"birth: 1.13 male(s)/female 
      
under 15 years: 1.17 male(s)/female 
      
15-64 years: 1.06 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 1.06 male(s)/female (2011 est.) 
        ", 1.13 , 1.17 , 1.06 , 0.92 , 1.06 
Christmas Island,"   NA (2009 est.) 
        "
Colombia,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 0.98 , 0.72 , 0.98 
Comoros,"birth: 1.03 male(s)/female 
      
under 15 years: 0.99 male(s)/female 
      
15-64 years: 0.9 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.03 , 0.99 , 0.9 , 0.92 , 0.94 
"Congo, Democratic Republic of the","birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.99 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.99 , 0.72 , 0.99 
"Congo, Republic of the","birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.99 male(s)/female 
      
65 years and over: 0.69 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.99 , 0.69 , 0.99 
Cook Islands,"birth: 1.05 male(s)/female 
      
under 15 years: 1.13 male(s)/female 
      
15-64 years: 1.07 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 1.07 male(s)/female (2011 est.) 
        ", 1.05 , 1.13 , 1.07 , 0.96 , 1.07 
Costa Rica,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.01 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1.01 , 0.86 , 1.01 
Cote d'Ivoire,"birth: 1.03 male(s)/female 
      
under 15 years: 1.02 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.03 , 1.02 , 1.04 , 0.96 , 1.03 
Croatia,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.99 male(s)/female 
      
65 years and over: 0.66 male(s)/female 
      
total population: 0.93 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 0.99 , 0.66 , 0.93 
Cuba,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 1 , 0.82 , 0.99 
Curacao,"birth: 1.15 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.82 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 0.85 male(s)/female (2010) 
        ", 1.15 , 1.05 , 0.82 , 0.67 , 0.85 
Cyprus,"birth: 1.05 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.09 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 1.04 male(s)/female (2011 est.) 
        ", 1.05 , 1.06 , 1.09 , 0.77 , 1.04 
Czech Republic,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 0.95 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 1.01 , 0.67 , 0.95 
Denmark,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.8 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 1.01 , 0.8 , 0.97 
Djibouti,"birth: 1.03 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 0.79 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 0.86 male(s)/female (2011 est.) 
        ", 1.03 , 1 , 0.79 , 0.82 , 0.86 
Dominica,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.05 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 1.02 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.05 , 0.77 , 1.02 
Dominican Republic,"birth: 1.04 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.04 , 1.04 , 1.04 , 0.86 , 1.03 
Ecuador,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 0.97 , 0.92 , 0.99 
Egypt,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.03 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1.03 , 0.82 , 1.03 
El Salvador,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.89 male(s)/female 
      
65 years and over: 0.8 male(s)/female 
      
total population: 0.93 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 0.89 , 0.8 , 0.93 
Equatorial Guinea,"birth: 1.03 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.75 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.03 , 1.03 , 0.98 , 0.75 , 0.99 
Eritrea,"birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.96 , 0.79 , 0.98 
Estonia,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 0.91 male(s)/female 
      
65 years and over: 0.49 male(s)/female 
      
total population: 0.84 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 0.91 , 0.49 , 0.84 
Ethiopia,"birth: 1.03 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.75 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.03 , 1 , 0.96 , 0.75 , 0.97 
European Union,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.73 male(s)/female 
      
total population: 0.96 male(s)/female (2012 est.) 
        ", 1.06 , 1.05 , 1 , 0.73 , 0.96 
Faroe Islands,"birth: 1.07 male(s)/female 
      
under 15 years: 1.08 male(s)/female 
      
15-64 years: 1.13 male(s)/female 
      
65 years and over: 0.93 male(s)/female 
      
total population: 1.09 male(s)/female (2011 est.) 
        ", 1.07 , 1.08 , 1.13 , 0.93 , 1.09 
Fiji,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.85 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.04 , 0.85 , 1.03 
Finland,"birth: 1.04 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.71 male(s)/female 
      
total population: 0.96 male(s)/female (2011 est.) 
        ", 1.04 , 1.03 , 1.02 , 0.71 , 0.96 
France,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.74 male(s)/female 
      
total population: 0.96 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1 , 0.74 , 0.96 
French Polynesia,"birth: 1.05 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.06 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 1.05 male(s)/female (2011 est.) 
        ", 1.05 , 1.06 , 1.06 , 0.95 , 1.05 
Gabon,"birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.73 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 1 , 0.73 , 0.99 
"Gambia, The","birth: 1.03 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.03 , 1.01 , 0.96 , 0.9 , 0.98 
Gaza Strip,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.05 male(s)/female 
      
65 years and over: 0.68 male(s)/female 
      
total population: 1.04 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 1.05 , 0.68 , 1.04 
Georgia,"birth: 1.11 male(s)/female 
      
under 15 years: 1.15 male(s)/female 
      
15-64 years: 0.94 male(s)/female 
      
65 years and over: 0.66 male(s)/female 
      
total population: 0.91 male(s)/female (2011 est.) 
        ", 1.11 , 1.15 , 0.94 , 0.66 , 0.91 
Germany,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.76 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 1.02 , 0.76 , 0.97 
Ghana,"birth: 1.03 male(s)/female 
      
under 15 years: 1.02 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.03 , 1.02 , 1 , 0.82 , 1 
Gibraltar,"birth: 1.07 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 1.01 male(s)/female (2011 est.) 
        ", 1.07 , 1.06 , 1.01 , 0.95 , 1.01 
Greece,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.78 male(s)/female 
      
total population: 0.96 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 1 , 0.78 , 0.96 
Greenland,"birth: 1.05 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 1.14 male(s)/female 
      
65 years and over: 1.1 male(s)/female 
      
total population: 1.11 male(s)/female (2011 est.) 
        ", 1.05 , 1.03 , 1.14 , 1.1 , 1.11 
Grenada,"birth: 1.1 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.83 male(s)/female 
      
total population: 1.02 male(s)/female (2011 est.) 
        ", 1.1 , 1.06 , 1.04 , 0.83 , 1.02 
Guam,"birth: 1.06 male(s)/female 
      
under 15 years: 1.07 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.84 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.06 , 1.07 , 1.04 , 0.84 , 1.03 
Guatemala,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 0.94 male(s)/female 
      
65 years and over: 0.87 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 0.94 , 0.87 , 0.97 
Guernsey,"birth: 1.05 male(s)/female 
      
under 15 years: 1.08 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.81 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.05 , 1.08 , 1.01 , 0.81 , 0.98 
Guinea,"birth: 1.03 male(s)/female 
      
under 15 years: 1.02 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.03 , 1.02 , 1 , 0.79 , 1 
Guinea-Bissau,"birth: 1.03 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 0.94 male(s)/female 
      
65 years and over: 0.64 male(s)/female 
      
total population: 0.95 male(s)/female (2011 est.) 
        ", 1.03 , 1 , 0.94 , 0.64 , 0.95 
Guyana,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.69 male(s)/female 
      
total population: 0.99 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1 , 0.69 , 0.99 
Haiti,"birth: 1.01 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.8 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.01 , 1 , 0.98 , 0.8 , 0.98 
Honduras,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 1.01 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.01 , 0.79 , 1.01 
Hong Kong,"birth: 1.07 male(s)/female 
      
under 15 years: 1.09 male(s)/female 
      
15-64 years: 0.93 male(s)/female 
      
65 years and over: 0.88 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.07 , 1.09 , 0.93 , 0.88 , 0.94 
Hungary,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 0.98 male(s)/female 
      
65 years and over: 0.59 male(s)/female 
      
total population: 0.91 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 0.98 , 0.59 , 0.91 
Iceland,"birth: 1.04 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.85 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.04 , 1.03 , 1.02 , 0.85 , 1 
India,"birth: 1.12 male(s)/female 
      
under 15 years: 1.13 male(s)/female 
      
15-64 years: 1.07 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 1.08 male(s)/female (2011 est.) 
        ", 1.12 , 1.13 , 1.07 , 0.9 , 1.08 
Indonesia,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.78 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.01 , 0.78 , 1 
Iran,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.03 male(s)/female 
      
65 years and over: 0.89 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1.03 , 0.89 , 1.03 
Iraq,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.03 male(s)/female 
      
65 years and over: 0.87 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.03 , 0.87 , 1.03 
