Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Aruba,"birth: 1.05 male(s)/female 
			
under 15 years: 1.07 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.93 male(s)/female (2002 est.) 
				", 1.05 , 1.07 , 0.93 , 0.7 , 0.93 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.78 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.78 , 0.99 
Austria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.62 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.62 , 0.95 
Azerbaijan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.95 , 0.66 , 0.95 
"Bahamas, The","birth: 1.02 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.96 male(s)/female (2002 est.) 
				", 1.02 , 1.02 , 0.97 , 0.72 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.43 male(s)/female 
			
65 years and over: 1.03 male(s)/female 
			
total population: 1.29 male(s)/female (2002 est.) 
				", 1.03 , 1.03 , 1.43 , 1.03 , 1.29 
Bangladesh,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 1.18 male(s)/female 
			
total population: 1.05 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1.05 , 1.18 , 1.05 
Barbados,"birth: 1.01 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 0.93 male(s)/female (2002 est.) 
				", 1.01 , 1.02 , 0.95 , 0.63 , 0.93 
Belarus,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.5 male(s)/female 
			
total population: 0.88 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.95 , 0.5 , 0.88 
Belgium,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.96 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.69 , 0.96 
Belize,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.95 male(s)/female 
			
total population: 1.03 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1.02 , 0.95 , 1.03 
Benin,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.94 male(s)/female 
			
65 years and over: 0.73 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.94 , 0.73 , 0.97 
Bermuda,"birth: 0.94 male(s)/female 
			
under 15 years: 0.97 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 0.94 , 0.97 , 0.98 , 0.77 , 0.95 
Bhutan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 1.02 male(s)/female 
			
total population: 1.07 male(s)/female (2002 est.) 
				", 1.05 , 1.08 , 1.06 , 1.02 , 1.07 
Bolivia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.82 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.96 , 0.82 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.74 male(s)/female 
			
total population: 1.02 male(s)/female (2002 est.) 
				", 1.07 , 1.06 , 1.05 , 0.74 , 1.02 
Botswana,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.68 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.93 , 0.68 , 0.95 
Brazil,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.68 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.97 , 0.68 , 0.97 
British Virgin Islands,"birth: 1.04 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 1.17 male(s)/female 
			
total population: 1.06 male(s)/female (2002 est.) 
				", 1.04 , 1.02 , 1.06 , 1.17 , 1.06 
Brunei,"birth: 1.06 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.13 male(s)/female 
			
65 years and over: 0.9 male(s)/female 
			
total population: 1.1 male(s)/female (2002 est.) 
				", 1.06 , 1.04 , 1.13 , 0.9 , 1.1 
Bulgaria,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.06 , 1.06 , 0.97 , 0.72 , 0.94 
Burkina Faso,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.92 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.96 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.92 , 0.72 , 0.96 
Burma,"birth: 1.06 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.06 , 1.04 , 0.99 , 0.8 , 0.99 
Burundi,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.97 , 0.69 , 0.99 
Cambodia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.9 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.9 , 0.69 , 0.94 
Cameroon,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 1.01 , 0.85 , 1.01 
Canada,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.74 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.01 , 0.74 , 0.98 
Cape Verde,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.92 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.92 , 0.63 , 0.94 
Cayman Islands,"birth: 0.86 male(s)/female 
			
under 15 years: 0.92 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 0.86 , 0.92 , 0.95 , 0.86 , 0.94 
Central African Republic,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.96 , 0.77 , 0.98 
Chad,"birth: 1.04 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.9 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.04 , 1.01 , 0.9 , 0.7 , 0.95 
Chile,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.71 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 0.99 , 0.71 , 0.98 
China,"birth: 1.09 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.89 male(s)/female 
			
total population: 1.06 male(s)/female (2002 est.) 
				", 1.09 , 1.1 , 1.06 , 0.89 , 1.06 
Christmas Island,"NA 
				"
Colombia,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.03 , 1.02 , 0.95 , 0.81 , 0.97 
Comoros,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.91 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.97 , 0.91 , 0.99 
"Congo, Democratic Republic of the","birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.71 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.96 , 0.71 , 0.98 
"Congo, Republic of the","birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.67 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.95 , 0.67 , 0.97 
Cook Islands,"NA 
				"
Costa Rica,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.87 male(s)/female 
			
total population: 1.02 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.87 , 1.02 
Cote d'Ivoire,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.97 male(s)/female 
			
total population: 1.03 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 1.05 , 0.97 , 1.03 
Croatia,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.6 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1.01 , 0.6 , 0.94 
Cuba,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 1 male(s)/female (2002 est.) 
				", 1.06 , 1.06 , 1.01 , 0.86 , 1 
Cyprus,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 1 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.77 , 1 
Czech Republic,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1 , 0.63 , 0.95 
Denmark,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1.03 , 0.72 , 0.98 
Djibouti,"birth: 1.03 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 1.11 male(s)/female 
			
65 years and over: 1.09 male(s)/female 
			
total population: 1.06 male(s)/female (2002 est.) 
				", 1.03 , 1 , 1.11 , 1.09 , 1.06 
Dominica,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.05 , 1.03 , 1.06 , 0.69 , 1.01 
Dominican Republic,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 0.9 male(s)/female 
			
total population: 1.03 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1.04 , 0.9 , 1.03 
East Timor,"NA 
				"
Ecuador,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.05 , 1.03 , 0.98 , 0.86 , 0.99 
Egypt,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 1.02 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.02 , 0.77 , 1.02 
El Salvador,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.9 male(s)/female 
			
65 years and over: 0.82 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.9 , 0.82 , 0.95 
Equatorial Guinea,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.92 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.92 , 0.81 , 0.95 
Eritrea,"birth: 1.03 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 1 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.03 , 1 , 0.98 , 1 , 0.99 
Estonia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.49 male(s)/female 
			
total population: 0.86 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.93 , 0.49 , 0.86 
Ethiopia,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.83 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 1.01 , 0.83 , 1.01 
Faroe Islands,"birth: 1 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 1.13 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 1.06 male(s)/female (2002 est.) 
				", 1 , 1.01 , 1.13 , 0.81 , 1.06 
Fiji,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1 , 0.86 , 1.01 
Finland,"birth: 1.03 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.64 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.03 , 1.04 , 1.02 , 0.64 , 0.95 
France,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.95 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1 , 0.69 , 0.95 
French Guiana,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.17 male(s)/female 
			
65 years and over: 1.03 male(s)/female 
			
total population: 1.13 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.17 , 1.03 , 1.13 
French Polynesia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.09 male(s)/female 
			
65 years and over: 1.01 male(s)/female 
			
total population: 1.07 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1.09 , 1.01 , 1.07 
Gabon,"birth: 1.03 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.97 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.03 , 1 , 1.01 , 0.97 , 1.01 
"Gambia, The","birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 1.09 male(s)/female 
			
total population: 1 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.98 , 1.09 , 1 
Gaza Strip,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 0.74 male(s)/female 
			
total population: 1.03 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.04 , 0.74 , 1.03 
Georgia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.64 male(s)/female 
			
total population: 0.91 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.93 , 0.64 , 0.91 
Germany,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.64 male(s)/female 
			
total population: 0.96 male(s)/female (2002 est.) 
				", 1.06 , 1.05 , 1.03 , 0.64 , 0.96 
Ghana,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.9 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.03 , 1.01 , 0.98 , 0.9 , 0.99 
Gibraltar,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.75 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.06 , 0.75 , 1.01 
Greece,"birth: 1.07 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.07 , 1.06 , 1 , 0.8 , 0.97 
Greenland,"birth: 1.02 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.19 male(s)/female 
			
65 years and over: 0.84 male(s)/female 
			
total population: 1.13 male(s)/female (2002 est.) 
				", 1.02 , 1.04 , 1.19 , 0.84 , 1.13 
Grenada,"birth: 1 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.12 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 1.08 male(s)/female (2002 est.) 
				", 1 , 1.02 , 1.12 , 0.85 , 1.08 
Guadeloupe,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.98 , 0.72 , 0.97 
Guam,"birth: 1.14 male(s)/female 
			
under 15 years: 1.11 male(s)/female 
			
15-64 years: 1.11 male(s)/female 
			
65 years and over: 1 male(s)/female 
			
total population: 1.1 male(s)/female (2002 est.) 
				", 1.14 , 1.11 , 1.11 , 1 , 1.1 
Guatemala,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.87 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1 , 0.87 , 1.01 
Guernsey,"birth: 1.04 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.71 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.04 , 1.03 , 0.98 , 0.71 , 0.94 
Guinea,"birth: 1.03 male(s)/female 
			
under 15 years: 0.99 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.96 male(s)/female (2002 est.) 
				", 1.03 , 0.99 , 0.95 , 0.7 , 0.96 
Guinea-Bissau,"birth: 1.03 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.91 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 0.94 male(s)/female (2002 est.) 
				", 1.03 , 1 , 0.91 , 0.79 , 0.94 
Guyana,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.01 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 1.02 , 0.8 , 1.01 
Haiti,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.94 male(s)/female 
			
65 years and over: 0.92 male(s)/female 
			
total population: 0.97 male(s)/female (2002 est.) 
				", 1.05 , 1.03 , 0.94 , 0.92 , 0.97 
Honduras,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.89 male(s)/female 
			
total population: 1 male(s)/female (2002 est.) 
				", 1.05 , 1.04 , 0.98 , 0.89 , 1 
Hong Kong,"birth: 1.07 male(s)/female 
			
under 15 years: 1.13 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 0.99 male(s)/female (2002 est.) 
				", 1.07 , 1.13 , 0.98 , 0.85 , 0.99 
Hungary,"birth: 1.07 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.58 male(s)/female 
			
total population: 0.91 male(s)/female (2002 est.) 
				", 1.07 , 1.06 , 0.97 , 0.58 , 0.91 
Iceland,"birth: 1.08 male(s)/female 
			
under 15 years: 1.07 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 1 male(s)/female (2002 est.) 
				", 1.08 , 1.07 , 1.02 , 0.81 , 1 
India,"birth: 1.05 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.07 male(s)/female 
			
65 years and over: 1.03 male(s)/female 
			
total population: 1.07 male(s)/female (2002 est.) 
				", 1.05 , 1.06 , 1.07 , 1.03 , 1.07 
Indonesia,"birth: NA 
			
under 15 years: NA 
			
15-64 years: NA 
			
65 years and over: NA 
			
total population: NA 
				"," NA 
			
under 15 years: NA 
			
15-64 years: NA 
			
65 years and over: NA 
			
total population: NA 
			"," NA 
			
15-64 years: NA 
			
65 years and over: NA 
			
total population: NA 
			"," NA 
			
65 years and over: NA 
			
total population: NA 
			"," NA 
			
total population: NA 
			"," NA 
			"
Iran,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 1.1 male(s)/female 
			
total population: 1.03 male(s)/female (2002 est.) 
				", 1.05 , 1.05 , 1.01 , 1.1 , 1.03 
Iraq,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.88 male(s)/female 
			
total population: 1.02 male(s)/female (2002 est.) 
				", 1.05 , 1.03 , 1.03 , 0.88 , 1.02 
Ireland,"birth: 1.07 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.98 male(s)/female (2002 est.) 
				", 1.07 , 1.05 , 1 , 0.77 , 0.98 
