Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Aruba,"birth: 1.02 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 0.93 male(s)/female 
      
55-64 years: 0.9 male(s)/female 
      
65 years and over: 0.65 male(s)/female 
      
total population: 0.9 male(s)/female (2014 est.) 
        ", 1.02 , 1.01 ,2.84, 0.65 , 0.9 
Australia,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 1.01 male(s)/female 
      
65 years and over: 0.85 male(s)/female 
      
total population: 1.01 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,3.09, 0.85 , 1.01 
Austria,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 0.95 male(s)/female 
      
65 years and over: 0.73 male(s)/female 
      
total population: 0.95 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.0, 0.73 , 0.95 
Azerbaijan,"birth: 1.12 male(s)/female 
      
0-14 years: 1.16 male(s)/female 
      
15-24 years: 1.07 male(s)/female 
      
25-54 years: 0.95 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.12 , 1.16 ,3.0, 0.62 , 0.98 
"Bahamas, The","birth: 1.03 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.96 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.96 male(s)/female (2014 est.) 
        ", 1.03 , 1.03 ,2.99, 0.62 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 1.28 male(s)/female 
      
25-54 years: 1.9 male(s)/female 
      
55-64 years: 1.54 male(s)/female 
      
65 years and over: 0.91 male(s)/female 
      
total population: 1.54 male(s)/female (2014 est.) 
        ", 1.03 , 1.03 ,4.72, 0.91 , 1.54 
Bangladesh,"birth: 1.04 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 0.88 male(s)/female 
      
25-54 years: 0.9 male(s)/female 
      
55-64 years: 0.95 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 0.95 male(s)/female (2014 est.) 
        ", 1.04 , 1.03 ,2.73, 0.96 , 0.95 
Barbados,"birth: 1.01 male(s)/female 
      
0-14 years: 1 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 0.99 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.65 male(s)/female 
      
total population: 0.94 male(s)/female (2014 est.) 
        ", 1.01 , 1 ,2.93, 0.65 , 0.94 
Belarus,"birth: 1.06 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.06 male(s)/female 
      
25-54 years: 0.96 male(s)/female 
      
55-64 years: 0.87 male(s)/female 
      
65 years and over: 0.46 male(s)/female 
      
total population: 0.87 male(s)/female (2014 est.) 
        ", 1.06 , 1.06 ,2.89, 0.46 , 0.87 
Belgium,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 0.96 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.96 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,3.02, 0.72 , 0.96 
Belize,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,3.09, 0.9 , 1.03 
Benin,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 1.01 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 1.01 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,3.07, 0.67 , 1.01 
Bermuda,"birth: 1.02 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.94 male(s)/female (2014 est.) 
        ", 1.02 , 1.02 ,2.94, 0.72 , 0.94 
Bhutan,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.15 male(s)/female 
      
55-64 years: 1.09 male(s)/female 
      
65 years and over: 1.11 male(s)/female 
      
total population: 1.1 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,3.28, 1.11 , 1.1 
Bolivia,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 0.95 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,2.96, 0.79 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
      
0-14 years: 1.07 male(s)/female 
      
15-24 years: 1.07 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 0.95 male(s)/female 
      
65 years and over: 0.63 male(s)/female 
      
total population: 0.95 male(s)/female (2014 est.) 
        ", 1.07 , 1.07 ,3.03, 0.63 , 0.95 
Botswana,"birth: 1.03 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 0.99 male(s)/female 
      
25-54 years: 1.12 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 1.02 male(s)/female (2014 est.) 
        ", 1.03 , 1.04 ,3.14, 0.67 , 1.02 
Brazil,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 0.98 male(s)/female 
      
55-64 years: 0.97 male(s)/female 
      
65 years and over: 0.74 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,2.98, 0.74 , 0.98 
British Virgin Islands,"birth: 1.05 male(s)/female 
      
0-14 years: 0.97 male(s)/female 
      
15-24 years: 0.91 male(s)/female 
      
25-54 years: 0.9 male(s)/female 
      
55-64 years: 0.92 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 0.93 male(s)/female (2014 est.) 
        ", 1.05 , 0.97 ,2.73, 0.95 , 0.93 
Brunei,"birth: 1.05 male(s)/female 
      
0-14 years: 1.07 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.94 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 1 male(s)/female (2014 est.) 
        ", 1.05 , 1.07 ,2.91, 0.95 , 1 
Bulgaria,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.06 male(s)/female 
      
25-54 years: 0.99 male(s)/female 
      
55-64 years: 0.92 male(s)/female 
      
65 years and over: 0.68 male(s)/female 
      
total population: 0.92 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,2.97, 0.68 , 0.92 
Burkina Faso,"birth: 1.03 male(s)/female 
      
0-14 years: 1 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1 ,3.03, 0.62 , 0.99 
Burma,"birth: 1.06 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 0.99 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.06 , 1.04 ,3.01, 0.77 , 0.99 
Burundi,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.99, 0.67 , 0.98 
Cabo Verde,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 0.94 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.6 male(s)/female 
      
total population: 0.94 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.88, 0.6 , 0.94 
Cambodia,"birth: 1.05 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.95 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.6 male(s)/female 
      
total population: 0.94 male(s)/female (2014 est.) 
        ", 1.05 , 1.02 ,2.87, 0.6 , 0.94 
Cameroon,"birth: 1.03 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 1.01 male(s)/female 
      
65 years and over: 0.84 male(s)/female 
      
total population: 1.01 male(s)/female (2014 est.) 
        ", 1.03 , 1.02 ,3.03, 0.84 , 1.01 
Canada,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.06 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,3.08, 0.79 , 0.99 
Cayman Islands,"birth: 1.02 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.95 male(s)/female 
      
55-64 years: 0.95 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 0.95 male(s)/female (2014 est.) 
        ", 1.02 , 1.01 ,2.88, 0.9 , 0.95 
Central African Republic,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.66 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.99, 0.66 , 0.98 
Chad,"birth: 1.04 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 0.94 male(s)/female 
      
25-54 years: 0.83 male(s)/female 
      
55-64 years: 0.93 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.93 male(s)/female (2014 est.) 
        ", 1.04 , 1.03 ,2.7, 0.72 , 0.93 
Chile,"birth: 1.04 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 0.99 male(s)/female 
      
55-64 years: 0.97 male(s)/female 
      
65 years and over: 0.71 male(s)/female 
      
total population: 0.97 male(s)/female (2014 est.) 
        ", 1.04 , 1.04 ,3.0, 0.71 , 0.97 
China,"birth: 1.11 male(s)/female 
      
0-14 years: 1.16 male(s)/female 
      
15-24 years: 1.13 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 1.06 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 1.06 male(s)/female (2014 est.) 
        ", 1.11 , 1.16 ,3.24, 0.92 , 1.06 
Christmas Island,"   NA (2009 est.) 
        "
Colombia,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 0.98 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,3.0, 0.72 , 0.98 
Comoros,"birth: 1.03 male(s)/female 
      
0-14 years: 0.99 male(s)/female 
      
15-24 years: 0.94 male(s)/female 
      
25-54 years: 0.9 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 0.94 male(s)/female (2014 est.) 
        ", 1.03 , 0.99 ,2.78, 0.92 , 0.94 
"Congo, Democratic Republic of the","birth: 1.03 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1.02 ,3.0, 0.72 , 0.99 
"Congo, Republic of the","birth: 1.03 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 0.99 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 1.01 male(s)/female 
      
65 years and over: 0.69 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1.02 ,3.03, 0.69 , 0.99 
Cook Islands,"birth: 1.04 male(s)/female 
      
0-14 years: 1.13 male(s)/female 
      
15-24 years: 1.15 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 1.07 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 1.07 male(s)/female (2014 est.) 
        ", 1.04 , 1.13 ,3.23, 0.96 , 1.07 
Costa Rica,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 1.01 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.01 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.06, 0.86 , 1.01 
Cote d'Ivoire,"birth: 1.03 male(s)/female 
      
0-14 years: 1.02 male(s)/female 
      
15-24 years: 1.02 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 1.02 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.03 , 1.02 ,3.09, 0.96 , 1.03 
Croatia,"birth: 1.06 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 0.98 male(s)/female 
      
55-64 years: 0.93 male(s)/female 
      
65 years and over: 0.66 male(s)/female 
      
total population: 0.93 male(s)/female (2014 est.) 
        ", 1.06 , 1.06 ,2.96, 0.66 , 0.93 
Cuba,"birth: 1.06 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.06 , 1.06 ,3.05, 0.82 , 0.99 
Curacao,"birth: 1.15 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.08 male(s)/female 
      
25-54 years: 0.92 male(s)/female 
      
55-64 years: 0.79 male(s)/female 
      
65 years and over: 0.71 male(s)/female 
      
total population: 0.92 male(s)/female (2013 est.) 
        ", 1.15 , 1.05 ,2.79, 0.71 , 0.92 
Cyprus,"birth: 1.05 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.19 male(s)/female 
      
25-54 years: 1.1 male(s)/female 
      
55-64 years: 1.04 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 1.04 male(s)/female (2014 est.) 
        ", 1.05 , 1.06 ,3.33, 0.77 , 1.04 
Czech Republic,"birth: 1.06 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 0.97 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 0.95 male(s)/female (2014 est.) 
        ", 1.06 , 1.06 ,3.07, 0.67 , 0.95 
Denmark,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.97 male(s)/female 
      
65 years and over: 0.8 male(s)/female 
      
total population: 0.97 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,3.01, 0.8 , 0.97 
Djibouti,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 0.89 male(s)/female 
      
25-54 years: 0.71 male(s)/female 
      
55-64 years: 0.85 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 0.86 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.45, 0.82 , 0.86 
Dominica,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.06 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 1.02 male(s)/female 
      
65 years and over: 0.77 male(s)/female 
      
total population: 1.02 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.11, 0.77 , 1.02 
Dominican Republic,"birth: 1.04 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.04 , 1.04 ,3.12, 0.86 , 1.03 
Ecuador,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 0.95 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.92 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,2.97, 0.92 , 0.99 
Egypt,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.03 male(s)/female 
      
55-64 years: 1.02 male(s)/female 
      
65 years and over: 0.82 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.1, 0.82 , 1.03 
El Salvador,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.01 male(s)/female 
      
25-54 years: 0.85 male(s)/female 
      
55-64 years: 0.93 male(s)/female 
      
65 years and over: 0.8 male(s)/female 
      
total population: 0.93 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,2.79, 0.8 , 0.93 
Equatorial Guinea,"birth: 1.03 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 0.98 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.75 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1.03 ,3.01, 0.75 , 0.99 
Eritrea,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 0.98 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.79 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.96, 0.79 , 0.98 
Estonia,"birth: 1.06 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.06 male(s)/female 
      
25-54 years: 0.92 male(s)/female 
      
55-64 years: 0.84 male(s)/female 
      
65 years and over: 0.49 male(s)/female 
      
total population: 0.84 male(s)/female (2014 est.) 
        ", 1.06 , 1.06 ,2.82, 0.49 , 0.84 
Ethiopia,"birth: 1.03 male(s)/female 
      
0-14 years: 1 male(s)/female 
      
15-24 years: 0.99 male(s)/female 
      
25-54 years: 0.99 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.83 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1 ,2.97, 0.83 , 0.99 
European Union,"birth: 1.06 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 0.94 male(s)/female 
      
65 years and over: 0.74 male(s)/female 
      
total population: 0.96 male(s)/female (2014 est.) 
        ", 1.06 , 1.05 ,3.01, 0.74 , 0.96 
Falkland Islands (Islas Malvinas),"al population: 1.11 male(s)/female 
      
note: sex ratio is somewhat skewed by the high proportion of males at the Royal Air Force station, Mount Pleasant Airport (MPA); excluding MPA, the sex ratio of the total population would be 1.01 (2012 est.) 
        ", 1.11 , sex ratio is somewhat skewed by the high proportion of 
Faroe Islands,"birth: 1.07 male(s)/female 
      
0-14 years: 1.08 male(s)/female 
      
15-24 years: 1.07 male(s)/female 
      
25-54 years: 1.18 male(s)/female 
      
55-64 years: 1.09 male(s)/female 
      
65 years and over: 0.93 male(s)/female 
      
total population: 1.09 male(s)/female (2014 est.) 
        ", 1.07 , 1.08 ,3.34, 0.93 , 1.09 
Fiji,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.85 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.13, 0.85 , 1.03 
Finland,"birth: 1.04 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.04 male(s)/female 
      
55-64 years: 0.96 male(s)/female 
      
65 years and over: 0.71 male(s)/female 
      
total population: 0.96 male(s)/female (2014 est.) 
        ", 1.04 , 1.04 ,3.04, 0.71 , 0.96 
France,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.01 male(s)/female 
      
55-64 years: 0.96 male(s)/female 
      
65 years and over: 0.74 male(s)/female 
      
total population: 0.96 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.02, 0.74 , 0.96 
French Polynesia,"birth: 1.05 male(s)/female 
      
0-14 years: 1.06 male(s)/female 
      
15-24 years: 1.07 male(s)/female 
      
25-54 years: 1.05 male(s)/female 
      
55-64 years: 1.05 male(s)/female 
      
65 years and over: 0.95 male(s)/female 
      
total population: 1.05 male(s)/female (2014 est.) 
        ", 1.05 , 1.06 ,3.17, 0.95 , 1.05 
Gabon,"birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 1 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.99 male(s)/female 
      
65 years and over: 0.73 male(s)/female 
      
total population: 0.99 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.99, 0.73 , 0.99 
"Gambia, The","birth: 1.03 male(s)/female 
      
0-14 years: 1.01 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.96 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.03 , 1.01 ,2.92, 0.9 , 0.98 
