Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peru,1.5%,0.2%,2.3%,3.8%,1.6%,2%,1.8%,5.8%,1.8%,1.5%,3.6%,3.7%,2.9%,2.9%,2.9%
French Polynesia,1.5%,1.5%,1.5%,1.5%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
Reunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,1%,1%,1%,1%,1%,1%,1%,1%,0.5%,0.7%,0.3%,0.2%,-0.7%,-0.7%,-0.7%
Honduras,9.7%,7.7%,7.7%,7%,8.8%,5.6%,6.9%,11.4%,4.6%,4.7%,5.1%,5.2%,5.2%,5.2%,5.2%
Serbia and Montenegro,18%,19%,11.2%,8.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,2.7%,2.5%,2.7%,4.1%,2.1%,4.5%,3.1%,5%,4.5%,4.4%,5.9%,5.6%,6.1%,6.1%,6.1%
Mexico,6.5%,6.4%,4.5%,5.4%,4%,3.6%,4%,5.1%,4.1%,4.2%,4.1%,4.1%,4%,4%,4%
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,NA,NA,NA,NA,NA,NA,2.4%,4.7%,2.2%,2.4%,3.4%,2.4%,0.2%,0.2%,0.2%
Morocco,1%,3.6%,1.2%,2.1%,1%,3.4%,2%,3.8%,2.5%,1%,1.4%,1.2%,2.5%,2.5%,2.5%
"Congo, Republic of the",3%,4%,2.4%,1.8%,2.2%,5.5%,2.7%,7.3%,5.2%,5.2%,3.5%,3.9%,1.7%,1.7%,1.7%
Niue,1%,1%,1%,1%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,4.3%,4.3%,4.3%,4.3%,3.4%,3.2%,3.2%,3.9%,2.3%,1.6%,2.7%,1.1%,1.1%,1.1%,1.1%
Equatorial Guinea,6%,6%,6%,8.5%,5%,5%,6%,7.5%,8.2%,8.2%,6.2%,6.1%,6%,6%,6%
Timor-Leste,NA,NA,NA,NA,NA,1.4%,7.8%,7.8%,7.8%,6.9%,9%,11.8%,4.5%,4.5%,4.5%
Poland,2.5%,1.9%,0.7%,3.4%,2.2%,1%,2.5%,4.2%,2.4%,2.6%,3.6%,3.7%,1%,1%,1%
Macau,-2%,-2.6%,-2.6%,2%,3.8%,4.4%,7.2%,6.2%,1.2%,2.8%,5.4%,6.1%,5.5%,5.5%,5.5%
Uzbekistan,23%,26%,13.1%,3%,6.9%,19.8%,12%,14%,15%,15%,12.5%,11.4%,10.1%,10.1%,10.1%
Brazil,7.7%,8.3%,14.7%,7.6%,6.9%,4.2%,3.6%,5.7%,4.9%,5%,5.5%,5.4%,6.2%,6.2%,6.2%
Guatemala,7.6%,8.1%,5.5%,7.2%,9.1%,6.6%,6.8%,11.4%,3.9%,3.9%,4%,3.8%,4.4%,4.4%,4.4%
Iran,17.3%,15.3%,16.4%,15.5%,13.5%,12%,17.1%,25.6%,11.8%,10.1%,23.6%,19.9%,42.3%,42.3%,42.3%
United States,2.8%,1.6%,2.3%,2.5%,3.2%,3.2%,2.9%,3.8%,1.4%,1.6%,2%,2.1%,1.5%,1.5%,1.5%
"Micronesia, Federated States of",2.5%,1%,1%,1%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,3.4%,3.4%,3.4%,3.4%,3.4%
Seychelles,6.1%,0.5%,3.3%,5%,1.6%,-0.4%,5.3%,37%,-2.2%,-2.4%,7.2%,7.1%,4.3%,4.3%,4.3%
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,2.3%,2.3%,2.1%,1.4%,1.8%,1.9%,1.7%,3.4%,2.2%,2.3%,2.6%,2.4%,0.8%,0.8%,0.8%
Singapore,1.5%,-0.4%,0.5%,1.7%,0.4%,1%,2.1%,6.5%,2.6%,2.8%,4.4%,4.6%,2.4%,2.4%,2.4%
Sweden,2.2%,2.2%,1.9%,0.7%,0.5%,1.4%,2.2%,3.5%,1.4%,1.3%,1.4%,0.9%,0%,0%,0%
Guyana,6%,4.7%,5.7%,4.5%,6.9%,7.2%,12.3%,8.3%,6.8%,4.5%,3.1%,2.4%,3.9%,3.9%,3.9%
Malaysia,1.5%,1.9%,1.1%,1.3%,3%,3.6%,2%,5.4%,1.8%,1.7%,1.9%,1.7%,2.2%,2.2%,2.2%
Bermuda,3%,2.3%,3.3%,3.3%,2.8%,2.8%,2.8%,2.8%,2.8%,2.4%,2.7%,2.4%,1.8%,1.8%,1.8%
Uruguay,3.6%,14.1%,19.4%,7.6%,4.7%,6.4%,8.1%,7.9%,6.8%,6.7%,7.8%,8.1%,8.3%,8.3%,8.3%
Hungary,5.3%,5.3%,4.7%,7%,3.6%,4.1%,8%,6.1%,4.5%,4.9%,5.6%,5.7%,1.9%,1.9%,1.9%
Jamaica,6.9%,7%,10.3%,12.4%,15.3%,8.6%,9.5%,22%,13%,12.6%,6.8%,6.9%,9.4%,9.4%,9.4%
Central African Republic,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,0.9%,0.9%,0.9%,1.5%,5.5%,5.8%,7%,7%,7%
Faroe Islands,5.1%,5.1%,5.1%,5.1%,5.1%,1.8%,1.8%,1.8%,-1.1%,-1.1%,2.3%,2.3%,2.3%,2.3%,2.3%
Jordan,3.3%,3.3%,2.4%,3.2%,4.5%,6.2%,5.4%,14.9%,4.4%,5%,4.3%,4.8%,5.9%,5.9%,5.9%
New Zealand,2.6%,2.7%,1.8%,2.4%,3%,3.4%,2.4%,4%,2.6%,2.3%,1.2%,1.1%,1.3%,1.3%,1.3%
Saint Pierre and Miquelon,2.1%,2.1%,2.1%,2.1%,2.1%,8.1%,8.1%,8.1%,8.1%,8.1%,8.1%,4.5%,4.5%,4.5%,4.5%
Costa Rica,12.1%,9.1%,9.4%,11.5%,13.8%,11.5%,9.4%,13.4%,5.8%,5.7%,4.5%,4.5%,5.6%,5.6%,5.6%
Sri Lanka,14.2%,9.6%,6.3%,5.8%,11.6%,13.7%,15.8%,22.6%,5.6%,5.9%,9.5%,7.5%,4.7%,4.7%,4.7%
Nicaragua,7.4%,3.7%,5.3%,9.3%,9.6%,9.1%,11.1%,19.8%,4.7%,5.5%,7.4%,7.2%,5.7%,5.7%,5.7%
Austria,1.8%,1.8%,1.4%,1.8%,2.3%,1.4%,2.2%,3.2%,1.5%,1.7%,2.3%,1.1%,2.1%,2.1%,2.1%
Nauru,-3.6%,-3.6%,-3.6%,-3.6%,-3.6%,-3.6%,-3.6%,NA,NA,NA,NA,NA,NA,NA,NA
Belize,1.7%,1.9%,2.6%,2.9%,3%,4.3%,2.3%,6.4%,4.1%,0.9%,2.8%,1.3%,1.3%,1.3%,1.3%
Bosnia and Herzegovina,5%,3.5%,0.9%,1.1%,4.4%,7.5%,1.6%,7.3%,1.9%,2.1%,2.2%,2.1%,0.2%,0.2%,0.2%
Qatar,2%,1.9%,2.3%,3%,8.8%,11.8%,13.7%,15.2%,1.1%,-2.4%,1.9%,1.9%,3.1%,3.1%,3.1%
Comoros,3.5%,3.5%,3.5%,3.5%,3%,3%,3%,3%,3%,2.7%,6%,6.3%,2.5%,2.5%,2.5%
Martinique,3.9%,3.9%,3.9%,3.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,10%,12.2%,10.8%,12.2%,11.8%,20.8%,10%,19%,12.2%,11.2%,11.4%,9.9%,11.8%,11.8%,11.8%
Grenada,2.8%,2.8%,2.8%,2.8%,3%,3%,3.7%,3.7%,3.7%,5%,3.2%,2.4%,2.4%,2.4%,2.4%
San Marino,3.3%,3.3%,3.3%,3.3%,-1.7%,-1.5%,-1.5%,-3.5%,-3.5%,2.8%,3.1%,2.5%,2.8%,2.8%,2.8%
Ghana,25%,14.5%,26.7%,13%,15.1%,10.9%,10.7%,16.5%,10.9%,10.7%,9.1%,9.2%,11%,11%,11%
Botswana,6.6%,8.1%,9.2%,7%,8.6%,11.5%,7.1%,12.6%,7.1%,7%,6.9%,7.5%,6.1%,6.1%,6.1%
Solomon Islands,7.9%,1.8%,9%,10%,6.6%,6.6%,6.3%,6.3%,6.3%,1.3%,4%,2.6%,2.6%,2.6%,2.6%
Bahrain,1.5%,0.5%,-0.2%,2.1%,2.7%,2.1%,3.3%,7%,3.3%,2%,3%,2.8%,3.1%,3.1%,3.1%
Djibouti,2%,2%,2%,2%,3%,3%,5%,5%,6%,4%,4.3%,7.9%,2.5%,2.5%,2.5%
Eritrea,15%,15%,12.3%,10%,15%,15%,17%,18%,20%,18%,17%,17%,13%,13%,13%
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79%,79%,1.7%,1.7%,1.7%
Switzerland,0.5%,0.5%,0.6%,0.9%,1.2%,1.1%,0.7%,2.4%,0.7%,0.7%,-0.9%,-0.7%,-0.4%,-0.4%,-0.4%
Burkina Faso,3.5%,3.5%,1.9%,2.4%,6.4%,2.3%,-0.2%,10.7%,1.4%,-0.8%,4.5%,3.8%,2.1%,2.1%,2.1%
Togo,2.3%,4%,-1%,1%,6%,2.2%,1%,8.7%,2.6%,1.4%,2.8%,2.6%,2.2%,2.2%,2.2%
Serbia,NA,NA,NA,NA,15.5%,15.5%,6.8%,6.8%,4.9%,6.3%,6.2%,7.3%,2.2%,2.2%,2.2%
Cameroon,2%,4.5%,2.3%,1%,2%,5.1%,1.1%,5.3%,1.9%,1.3%,2.9%,2.9%,2.6%,2.6%,2.6%
Mongolia,11.8%,3%,1.5%,11%,9.5%,9.5%,9%,28%,4.2%,10.2%,12.9%,15%,8.2%,8.2%,8.2%
Lithuania,0.8%,0.8%,-1.2%,1.1%,2.7%,3.8%,5.7%,10.9%,0.9%,1.3%,3.4%,3.1%,1.2%,1.2%,1.2%
Bangladesh,5.8%,3.1%,5.6%,6%,7%,6.8%,9.1%,8.9%,8.1%,8.1%,8.8%,6.6%,7.6%,7.6%,7.6%
Malawi,28.6%,27.4%,9.5%,12%,15.4%,14%,7.9%,8.7%,8%,7.4%,18.4%,21.4%,26.9%,26.9%,26.9%
Cayman Islands,2.3%,2.8%,2.8%,2.8%,4.4%,4.4%,4.4%,4.4%,4.1%,0.3%,1.2%,1.2%,1.8%,1.8%,1.8%
Northern Mariana Islands,1.2%,1.2%,1.2%,1.2%,-0.8%,-0.8%,-0.8%,-0.8%,-0.8%,-0.8%,-0.8%,-2.7%,-2.7%,-2.7%,-2.7%
Mozambique,10%,15.2%,14%,12.8%,6.5%,13.2%,8.2%,10.3%,13.5%,13%,3.5%,2.1%,4.4%,4.4%,4.4%
Guinea-Bissau,5%,4%,4%,4%,4%,4%,3.8%,3.8%,3.8%,2.5%,6.4%,2.1%,1.9%,1.9%,1.9%
Fiji,3%,2%,1.6%,1.6%,3%,3%,4.8%,4.8%,4.8%,5.5%,4.7%,4.4%,3%,3%,3%
Zimbabwe,100%,134.5%,384.7%,133%,266.8%,NA,NA,14.9%,5.03%,3.7%,8.3%,8.2%,8.5%,8.5%,8.5%
Georgia,5.2%,5.2%,4.8%,5.5%,8.2%,9.2%,9.3%,10%,5.7%,7.1%,4.5%,-0.9%,-0.5%,-0.5%,-0.5%
Papua New Guinea,10.3%,9.8%,14.7%,4.2%,1.7%,2.9%,0.9%,10.7%,6.8%,6%,6.2%,2.3%,3.8%,3.8%,3.8%
Cook Islands,3.2%,3.2%,3.2%,3.2%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.2%,2.2%,2.2%,2.2%,2.2%
Macedonia,NA,NA,1.2%,0.4%,0%,3.2%,2.3%,8.3%,1.5%,1.6%,3.3%,3.3%,2.8%,2.8%,2.8%
Czech Republic,2.2%,0.6%,0.1%,3.2%,1.9%,2.5%,2.9%,6.3%,1.6%,1.5%,3.3%,3.3%,1.4%,1.4%,1.4%
"Man, Isle of",2.5%,3.6%,3.6%,3.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,45.2%,45.2%,25.3%,9.3%,8.2%,10.5%,8.7%,10.4%,8.7%,8.6%,9.1%,8.9%,7.6%,7.6%,7.6%
Cuba,7.1%,7.1%,4.1%,3.1%,7%,6.2%,3.1%,3.4%,0.7%,2.9%,5.5%,5.5%,6%,6%,6%
Netherlands,3.4%,3.4%,2.1%,1.4%,1.7%,1.1%,1.6%,2.5%,1.1%,1.3%,2.4%,2.8%,2.5%,2.5%,2.5%
Nigeria,14.9%,14.2%,13.8%,16.5%,13.5%,8.2%,5.4%,11.6%,13.9%,13.7%,12.1%,12.2%,8.7%,8.7%,8.7%
New Caledonia,2.3%,-0.6%,-0.6%,-0.6%,-0.6%,1.4%,1.4%,1.4%,1.4%,2.7%,1.7%,1.7%,1.7%,1.7%,1.7%
India,5.4%,5.4%,3.8%,4.2%,4.2%,6.2%,6.4%,8.3%,11.7%,12%,9.2%,9.7%,9.6%,9.6%,9.6%
Vietnam,-0.3%,3.9%,3.1%,9.5%,8.3%,7.5%,8.3%,23.1%,11.1%,9%,9.2%,9.1%,6.8%,6.8%,6.8%
Greece,3.6%,3.6%,3.6%,2.9%,3.5%,3.2%,2.9%,4.1%,4.5%,4.7%,1.1%,1.5%,-0.8%,-0.8%,-0.8%
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5%,1.9%,1.9%,1.9%
Aruba,4%,3.2%,3.2%,3.2%,3.4%,3.4%,3.4%,3.4%,3.4%,2.1%,2.3%,0.6%,-2%,-2%,-2%
Finland,1.9%,1.9%,0.9%,0.7%,0.9%,1.6%,2.5%,4.1%,1.1%,1.7%,3%,3.2%,2.2%,2.2%,2.2%
Kuwait,2.7%,2%,1.2%,2.3%,4.1%,3%,5.5%,10.6%,3.8%,4%,3.2%,2.9%,2.8%,2.8%,2.8%
Slovenia,7.4%,7.4%,5.6%,3.3%,2.5%,2.5%,3.6%,5.7%,2.1%,1.8%,2.5%,2.6%,1.8%,1.8%,1.8%
Tajikistan,33%,12%,16.3%,8%,7.1%,11.9%,13.1%,20.5%,5.8%,6.4%,6.3%,5.8%,3.7%,3.7%,3.7%
Montenegro,NA,NA,NA,NA,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,3%,4%,4%,4%,4%
East Timor,NA,NA,8%,4%,1.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,8.5%,6%,6.6%,6.9%,7.6%,8.6%,10.8%,17%,6.7%,7.1%,5.2%,5.1%,5.8%,5.8%,5.8%
Antigua and Barbuda,0.4%,0.4%,0.4%,0.4%,0.9%,0.9%,1.5%,1.5%,1.5%,2.9%,1.4%,3.4%,3%,3%,3%
South Africa,5.8%,9.9%,5.9%,4.5%,4%,4.6%,6.5%,11.3%,4.5%,4.1%,5.2%,5.7%,5.8%,5.8%,5.8%
Dominica,1%,1%,1%,1%,-0.1%,-0.1%,2.7%,2.7%,0.1%,3.2%,2%,1.4%,1.8%,1.8%,1.8%
Montserrat,5%,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,0.6%,3.3%,4.8%,4.5%,4.5%,4.5%
Paraguay,7.2%,10.5%,14.2%,5.1%,6.8%,9.6%,8.1%,10.2%,4.2%,4.7%,4.6%,3.7%,2.3%,2.3%,2.3%
Mali,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,2.5%,2.5%,2.5%,1.1%,6.5%,5.4%,0.1%,0.1%,0.1%
Jersey,4.7%,4.7%,4.7%,5.3%,5.3%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%
Isle of Man,NA,NA,NA,NA,2.7%,3.1%,3.1%,3.1%,3.1%,3.1%,5%,5%,5%,5%,5%
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,3.2%,3.2%,3.2%,4%,4%,4%,4%
Sudan,10%,9.2%,8.8%,9%,9%,7.2%,8%,14.3%,11.8%,13%,31.5%,37.4%,25%,25%,25%
Dominican Republic,5%,5.3%,27.5%,55%,4.2%,7.6%,6.1%,10.6%,6.3%,6.3%,3.7%,3.7%,5%,5%,5%
Indonesia,11.5%,11.9%,6.6%,6.1%,10.5%,13.1%,6.3%,9.9%,5.2%,5.1%,4.5%,4.3%,7.7%,7.7%,7.7%
Lebanon,0.5%,3.5%,2.5%,2%,2.4%,4%,4.2%,10%,3.7%,4%,5.5%,6.4%,5%,5%,5%
"Gambia, The",4%,5.5%,14%,7%,8.8%,1.5%,5.1%,4.5%,5.5%,5%,6.2%,4.6%,6%,6%,6%
Rwanda,5%,5.5%,7.5%,7%,8%,8.8%,9.1%,15.4%,6.4%,2.3%,8.5%,6.3%,5.9%,5.9%,5.9%
Japan,-0.9%,-0.9%,-0.3%,-0.1%,-0.3%,0.2%,0.1%,1.4%,-0.9%,-0.7%,0.1%,0%,0.2%,0.2%,0.2%
Chad,3%,6%,6%,8%,3%,8%,4%,10.3%,4%,-2%,5%,10.2%,4.5%,4.5%,4.5%
Laos,10%,10%,15.3%,12.3%,7%,6.8%,4.5%,8.6%,6.2%,5.7%,4.9%,4.3%,6.5%,6.5%,6.5%
Anguilla,2.3%,2.3%,2.3%,2.3%,5.3%,5.3%,5.3%,5.3%,5.3%,1.1%,4.5%,4.4%,3.1%,3.1%,3.1%
Bulgaria,5.9%,5.9%,2.3%,6.1%,5%,7.3%,9.8%,12.3%,2.1%,2.4%,2.4%,3%,1.5%,1.5%,1.5%
Greenland,1.6%,1.6%,1.6%,1.6%,1.6%,1%,1%,1%,9.4%,9.4%,2.8%,2.8%,2.8%,2.8%,2.8%
Guernsey,3.99%,3.99%,4%,4.9%,4.9%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%,3.4%
Romania,34.5%,22.5%,15.3%,9.6%,9%,6.6%,4.8%,7.8%,6%,6.1%,3%,3.3%,3.2%,3.2%,3.2%
Brunei,1%,-2%,-2%,0.3%,0.9%,1.1%,0.4%,0.3%,2.7%,0.4%,1.2%,0.5%,1%,1%,1%
