Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Switzerland,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,97.0%,98.5%,98.5%,98.5%,98.5%,98.1%,98.1%,98.1%,98.1%,98.1%,98.8%,98.9%,98.9%,98.9%,98.9%
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4%,98.5%,98.5%,98.5%,98.5%
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,63.6%,70.6%,70.6%,70.6%,70.6%,69.1%,69.1%,69.1%,69.1%,69.1%,69.1%,75.9%,75.9%,75.9%,75.9%
Kazakhstan,98.4%,98.4%,98.4%,98.4%,98.4%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.7%,99.7%,99.7%,99.7%
Kyrgyzstan,97.0%,97.0%,97.0%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,99.2%,99.2%,99.2%,99.2%
Jordan,86.6%,91.3%,91.3%,91.3%,91.3%,89.9%,89.9%,89.9%,89.9%,89.9%,92.6%,95.9%,95.9%,95.9%,95.9%
Norway,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Dominican Republic,82.1%,84.7%,84.7%,84.7%,84.7%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,90.1%,90.1%,90.1%,90.1%
Sri Lanka,90.2%,92.3%,92.3%,92.3%,92.3%,90.7%,90.7%,90.7%,90.7%,90.7%,91.2%,91.2%,91.2%,91.2%,91.2%
Central African Republic,60.0%,51.0%,51.0%,51.0%,51.0%,51.0%,48.6%,48.6%,48.6%,48.6%,56.0%,56.6%,56.6%,56.6%,56.6%
Lithuania,98.0%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.7%,99.7%,99.7%,99.7%,99.7%
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,95.0%,95.4%,95.4%,95.4%,95.4%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
Denmark,100.0%,100.0%,100.0%,100.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Angola,42.0%,42.0%,42.0%,66.8%,66.8%,67.4%,67.4%,67.4%,67.4%,67.4%,70.1%,70.4%,70.4%,70.4%,70.4%
"Congo, Democratic Republic of the",77.3%,65.5%,65.5%,65.5%,65.5%,65.5%,67.2%,67.2%,67.2%,67.2%,66.8%,66.8%,66.8%,66.8%,66.8%
Guinea,35.9%,35.9%,35.9%,35.9%,35.9%,29.5%,29.5%,29.5%,29.5%,29.5%,41.0%,41.0%,41.0%,41.0%,41.0%
Macedonia,NA,NA,NA,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,97.3%,97.4%,97.4%,97.4%,97.4%
Bahrain,88.5%,89.1%,89.1%,89.1%,89.1%,86.5%,86.5%,86.5%,86.5%,86.5%,94.6%,94.6%,94.6%,94.6%,94.6%
Finland,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Qatar,79.0%,82.5%,82.5%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,96.3%,96.3%,96.3%,96.3%,96.3%
Liberia,38.3%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,60.8%,60.8%,60.8%,60.8%,60.8%
Lesotho,83.0%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,89.6%,89.6%,89.6%,89.6%,89.6%
Spain,97.0%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.7%,97.7%,97.7%,97.7%,97.7%
"Bahamas, The",98.2%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
Dominica,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
Uganda,62.7%,69.9%,69.9%,69.9%,69.9%,66.8%,66.8%,66.8%,66.8%,66.8%,66.8%,73.2%,73.2%,73.2%,73.2%
Mauritania,41.2%,41.7%,41.7%,41.7%,41.7%,51.2%,51.2%,51.2%,51.2%,51.2%,58.0%,58.6%,58.6%,58.6%,58.6%
Falkland Islands (Islas Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holy See (Vatican City),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Rwanda,48.0%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,71.1%,71.1%,71.1%,71.1%,71.1%
Mexico,89.6%,92.2%,92.2%,92.2%,92.2%,91.0%,91.0%,91.0%,86.1%,86.1%,86.1%,93.5%,93.5%,93.5%,93.5%
Czech Republic,99.9%,99.9%,99.9%,99.9%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Tanzania,67.8%,78.2%,78.2%,78.2%,78.2%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,67.8%,67.8%,67.8%,67.8%
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Bank,NA,NA,NA,91.9%,91.9%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,95.3%,95.3%,95.3%,95.3%
Egypt,51.4%,57.7%,57.7%,57.7%,57.7%,71.4%,71.4%,71.4%,71.4%,71.4%,72.0%,73.9%,73.9%,73.9%,73.9%
Estonia,100.0%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
Azerbaijan,97.0%,97.0%,97.0%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,99.8%,99.8%,99.8%,99.8%,99.8%
Brunei,88.2%,91.8%,93.9%,93.9%,93.9%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%,95.4%,95.4%,95.4%,95.4%
Moldova,96.0%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,98.5%,99.0%,99.0%,99.0%,99.0%
French Guiana,83.0%,83.0%,83.0%,83.0%,83.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,98.0%,99.4%,99.4%,99.4%,99.4%,99.5%,99.5%,99.5%,99.5%,99.5%,99.7%,99.7%,99.7%,99.7%,99.7%
Costa Rica,95.5%,96.0%,96.0%,96.0%,96.0%,96.0%,94.9%,94.9%,94.9%,94.9%,94.9%,96.3%,96.3%,96.3%,96.3%
Vanuatu,53.0%,53.0%,53.0%,74.0%,74.0%,74.0%,74.0%,74.0%,74.0%,74.0%,74.0%,83.2%,83.2%,83.2%,83.2%
World,77.0%,77.0%,77.0%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%,83.7%,83.7%,84.1%,84.1%,84.1%,84.1%
Guam,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Barbados,97.4%,97.4%,97.4%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
British Virgin Islands,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
Thailand,93.8%,96.0%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,93.5%,93.5%,93.5%,93.5%
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
"Man, Isle of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, The Former Yugoslav Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,51.7%,60.9%,60.9%,60.9%,60.9%,60.9%,60.9%,60.9%,60.9%,60.9%,60.9%,60.4%,60.4%,60.4%,60.4%
Mauritius,82.9%,85.6%,85.6%,85.6%,85.6%,84.4%,84.4%,84.4%,84.4%,84.4%,88.5%,88.8%,88.8%,88.8%,88.8%
Nepal,27.5%,45.2%,45.2%,45.2%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,60.3%,57.4%,57.4%,57.4%,57.4%
Portugal,87.4%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,95.2%,95.4%,95.4%,95.4%,95.4%
Cape Verde,71.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,84.3%,NA,NA,NA,NA
Zambia,78.9%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,61.4%,61.4%,61.4%,61.4%
Japan,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,86.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,89.6%,89.6%,89.6%,89.6%
Ireland,98.0%,98.0%,98.0%,98.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Latvia,99.8%,99.8%,99.8%,99.8%,99.8%,99.7%,99.7%,99.7%,99.7%,99.7%,99.8%,99.8%,99.8%,99.8%,99.8%
"Gambia, The",47.5%,40.1%,40.1%,40.1%,40.1%,40.1%,40.1%,40.1%,40.1%,40.1%,50.0%,51.1%,51.1%,51.1%,51.1%
Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,NA,NA,NA,NA,NA,NA,NA,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
Samoa,80.0%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,98.8%,98.8%,98.8%,98.8%
Bulgaria,98.0%,98.6%,98.6%,98.6%,98.6%,98.2%,98.2%,98.2%,98.2%,98.2%,98.4%,98.4%,98.4%,98.4%,98.4%
Montserrat,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
East Timor,48.0%,48.0%,58.6%,58.6%,58.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,98.0%,98.0%,98.0%,98.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
Malta,88.76%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.4%,92.4%,92.4%,92.4%
Bosnia and Herzegovina,NA,NA,NA,94.6%,94.6%,96.7%,96.7%,96.7%,96.7%,96.7%,97.9%,98.0%,98.0%,98.0%,98.0%
Morocco,43.7%,51.7%,51.7%,51.7%,51.7%,52.3%,52.3%,52.3%,52.3%,52.3%,56.1%,67.1%,67.1%,67.1%,67.1%
Kuwait,78.6%,83.5%,83.5%,83.5%,83.5%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.9%,93.9%,93.9%,93.9%
Luxembourg,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Seychelles,58.0%,58.0%,58.0%,91.9%,91.9%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%
Iceland,99.9%,99.9%,99.9%,99.9%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Iran,72.1%,79.4%,79.4%,79.4%,79.4%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,85.0%,85.0%,85.0%,85.0%
United Kingdom,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Belgium,98.0%,98.0%,98.0%,98.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Equatorial Guinea,78.5%,85.7%,85.7%,85.7%,85.7%,85.7%,87.0%,87.0%,87.0%,87.0%,93.9%,94.2%,94.2%,94.2%,94.2%
Guinea-Bissau,34.0%,42.4%,42.4%,42.4%,42.4%,42.4%,42.4%,42.4%,42.4%,42.4%,54.2%,55.3%,55.3%,55.3%,55.3%
Trinidad and Tobago,94.0%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.8%,98.8%,98.8%,98.8%
Afghanistan,36.0%,36.0%,36.0%,36.0%,36.0%,28.1%,28.1%,28.1%,28.1%,28.1%,28.1%,28.1%,28.1%,28.1%,28.1%
Cayman Islands,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.9%,98.9%,98.9%,98.9%
Saint Pierre and Miquelon,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Cuba,95.7%,97.0%,97.0%,97.0%,97.0%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
Germany,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Aruba,97.0%,97.0%,97.0%,97.0%,97.0%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,96.8%,96.8%,96.8%,96.8%
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,85.0%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,93.0%,93.0%,93.0%,93.0%
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.1%,84.1%,84.1%,84.1%
Gabon,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,88.4%,89.0%,89.0%,89.0%,89.0%
Netherlands,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Namibia,38.0%,84.0%,84.0%,84.0%,84.0%,85.0%,85.0%,85.0%,85.0%,85.0%,88.8%,88.8%,88.8%,88.8%,88.8%
Andorra,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Maldives,93.2%,97.2%,97.2%,97.2%,97.2%,96.3%,96.3%,96.3%,93.8%,93.8%,93.8%,98.4%,98.4%,98.4%,98.4%
"Korea, North",99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,100.0%,100.0%,100.0%,100.0%
Russia,98.0%,99.6%,99.6%,99.6%,99.6%,99.4%,99.4%,99.4%,99.4%,99.4%,99.6%,99.7%,99.7%,99.7%,99.7%
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0%,27.0%,27.0%,27.0%,27.0%,27.0%
Somalia,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%,37.8%
Chile,95.2%,96.2%,96.2%,96.2%,96.2%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,98.6%,98.6%,98.6%,98.6%
Benin,37.5%,40.9%,40.9%,33.6%,33.6%,34.7%,34.7%,34.7%,34.7%,34.7%,42.4%,42.4%,42.4%,42.4%,42.4%
Albania,93.0%,86.5%,86.5%,86.5%,86.5%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,96.8%,96.8%,96.8%,96.8%
Algeria,61.6%,70.0%,70.0%,70.0%,70.0%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%,72.6%,72.6%,72.6%,72.6%
Paraguay,92.1%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,93.9%,93.9%,93.9%,93.9%
United States,97.0%,97.0%,97.0%,97.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Senegal,39.1%,40.2%,40.2%,40.2%,40.2%,39.3%,39.3%,39.3%,39.3%,39.3%,39.3%,49.7%,49.7%,49.7%,49.7%
Papua New Guinea,64.5%,66.0%,64.6%,64.6%,64.6%,57.3%,57.3%,57.3%,57.3%,57.3%,57.3%,62.4%,62.4%,62.4%,62.4%
Bhutan,42.2%,42.2%,42.2%,42.2%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,52.8%,52.8%,52.8%,52.8%
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,79.3%,79.3%,79.3%,79.3%,79.3%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,69.5%,69.5%,69.5%,69.5%
Panama,90.8%,92.6%,92.6%,92.6%,92.6%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,94.1%,94.1%,94.1%,94.1%
Slovenia,99.0%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
Romania,97.0%,98.4%,98.4%,98.4%,98.4%,97.3%,97.3%,97.3%,97.3%,97.3%,97.7%,97.7%,97.7%,97.7%,97.7%
Libya,76.2%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,89.2%,89.5%,89.5%,89.5%,89.5%
Niger,15.3%,17.6%,17.6%,17.6%,17.6%,28.7%,28.7%,28.7%,28.7%,28.7%,28.7%,28.7%,28.7%,28.7%,28.7%
"Korea, South",98.0%,98.1%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,83.5%,88.9%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,93.1%,93.1%,93.1%,93.1%
Venezuela,91.1%,93.4%,93.4%,93.4%,93.4%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,95.5%,95.5%,95.5%,95.5%
Greenland,NA,NA,NA,NA,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Saudi Arabia,78.0%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,86.6%,87.2%,87.2%,87.2%,87.2%
Slovakia,NA,NA,NA,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
Cameroon,63.4%,79.0%,79.0%,79.0%,79.0%,67.9%,67.9%,67.9%,67.9%,67.9%,75.9%,71.3%,71.3%,71.3%,71.3%
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Mongolia,97.8%,99.1%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.4%,97.4%,97.4%,97.4%,97.4%
Bolivia,83.1%,87.2%,87.2%,87.2%,87.2%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,91.2%,91.2%,91.2%,91.2%
Turks and Caicos Islands,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
Laos,57.0%,52.8%,66.4%,66.4%,66.4%,68.7%,68.7%,68.7%,73.0%,73.0%,73.0%,72.7%,72.7%,72.7%,72.7%
Gaza Strip,NA,NA,NA,91.9%,91.9%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,95.3%,95.3%,95.3%,95.3%
San Marino,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
Cook Islands,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9%,84.9%,84.9%,84.9%
Canada,97.0%,97.0%,97.0%,97.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Eritrea,25.0%,58.6%,58.6%,58.6%,58.6%,58.6%,58.6%,58.6%,58.6%,58.6%,67.8%,68.9%,68.9%,68.9%,68.9%
Belarus,98.0%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
Serbia and Montenegro,93.0%,93.0%,93.0%,96.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,94.6%,95.9%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,95.4%,95.4%,95.4%,95.4%
Madagascar,80.0%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,64.5%,64.5%,64.5%,64.5%,64.5%
Ukraine,98.0%,99.7%,99.7%,99.7%,99.7%,99.4%,99.4%,99.4%,99.4%,99.4%,99.7%,99.7%,99.7%,99.7%,99.7%
Bangladesh,56.0%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,47.9%,47.9%,47.9%,56.8%,57.7%,57.7%,57.7%,57.7%
Uzbekistan,99.0%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.4%,99.4%,99.4%,99.4%
